"id","name"
"654","Harvey Bullock"
"655","Lucius Fox"
"656","Bane"
"657","Thomas Wayne"
"658","Martha Wayne"
"659","Barbara Kean"
"660","Carmine Falcone"
"661","Commissioner Loeb"
"662","Richard Sionis / The Mask"
"663","Ra's al Ghul"
"664","Ray Palmer / The Atom"
"665","Floyd Lawton / Deadshot"
"666","Jimmy Olsen"
"667","Jonathan Kent"
"668","Brainiac"
"669","Victor Stone / Cyborg"
"670","Slade Wilson / Deathstroke"
"671","Lana Lang"
"672","Vicki Vale"
"673","Professor Charles Xavier"
"674","Eric Lensherr / Magneto"
"675","Jean Grey"
"676","Scott Summers / Cyclops"
"677","Ororo Munroe / Storm"
"678","Victor Creed / Sabretooth"
"679","Raven Darkholme / Mystique"
"680","Kitty Pryde / Shadowcat"
"681","Bobby Drake / Iceman"
"682","Rogue"
"683","William Stryker"
"684","Kurt Wagner / Nightcrawler"
"685","Piotr Rasputin / Colossus"
"686","Dr. Hank McCoy / Beast"
"687","Pietro Maximoff / Quicksilver"
"688","Wade Wilson / Deadpool"
"689","Chewbacca"
"690","C-3PO"
"691","Anakin Skywalker / Darth Vader"
"692","Yoda"
"693","Sheev Palpatine / Darth Sidious"
"694","Natasha Romanoff / Black Widow"
"695","Optimus Prime"
"696","Bumblebee"
"697","Megatron / Galvatron"
"698","Starscream"
"699","Frank Castle / Punisher"
"700","Remy LeBeau / Gambit"
"701","Thanos"
"702","Sue Storm / The Invisible Woman"
"703","Reed Richards / Mr. Fantastic"
"704","Johnny Storm / The Human Torch"
"705","Ben Grimm / The Thing"
"706","Victor von Doom / Doctor Doom"
"707","Captain Nemo"
"708","Cardinal Richelieu"
"709","Louis XIV"
"710","Fantômas"
"711","William Shakespeare"
"712","Lord Voldemort"
"713","Professor Albus Dumbledore"
"714","Severus Snape"
"715","Poseidon"
"716","Zeus"
"717","Ares"
"718","Aphrodite"
"719","Apollo"
"720","Hera"
"721","Artemis"
"722","Julius Caesar"
"723","Octavian"
"724","Marcus Antonius"
"725","Spartacus"
"726","Marie Antoinette"
"727","Louis XVI"
"728","Louis XV"
"729","Georges Danton"
"730","Maximilien Robespierre"
"731","Theseus"
"732","Henry VIII"
"733","Anne Boleyn"
"734","Henri IV"
"735","Cinderella"
"736","Alice"
"737","Jackie Kennedy"
"738","Jesus Christ"
"739","James Rhodes / War Machine"
"740","Richard the Lionheart"
"741","Prince John"
"742","Winston Churchill"
"743","Oscar Wilde"
"744","Donatello"
"745","Leonardo"
"746","Michelangelo"
"747","Raphael"
"748","April O'Neil"
"749","John Wilkes Booth"
"750","Franklin D. Roosevelt"
"751","King George VI"
"752","Queen Elizabeth  (4.8.1900 -  30.3.2002)"
"753","God"
"754","Persephone"
"755","King Henry V of England"
"756","Richard III"
"757","Henry IV"
